Donor_ID,_PATIENT
SP101724,DO46416
SP79365,DO36062
SP98853,DO45049
SP106808,DO48578
SP102816,DO46853
SP116296,DO52532
SP112815,DO51064
SP112799,DO51056
SP59388,DO27821
SP107047,DO48701
SP102795,DO46847
SP103197,DO46973
SP116965,DO51493
SP102617,DO46785
SP107050,DO48703
SP102103,DO46581
SP79237,DO35934
SP111006,DO50332
SP79462,DO36159
SP116649,DO52667
SP79201,DO35898
SP77930,DO35184
SP76057,DO34616
SP99261,DO45269
SP78816,DO35619
SP102605,DO46781
SP59416,DO27835
SP78663,DO35542
SP69565,DO32831
SP107052,DO48704
SP75202,DO34432
SP13291,DO6362
SP78709,DO35564
SP102827,DO46856
SP110736,DO32860
SP117086,DO51181
SP116254,DO52510
SP107774,DO49076
SP124977,DO221127
SP117700,DO51175
SP13514,DO6585
SP79371,DO36068
SP107462,DO48943
SP78951,DO35753
SP99269,DO45273
SP59356,DO27805
SP98855,DO45051
SP99271,DO45273
SP135339,DO52132
SP112829,DO51071
SP116612,DO52651
SP125807,DO221540
SP112835,DO51074
SP107056,DO48706
SP116256,DO52510
SP124389,DO220887
SP135184,DO222286
SP112955,DO51134
SP115117,DO7304
SP110846,DO50309
SP102174,DO46606
SP125696,DO51467
SP125725,DO51524
SP125752,DO51500
SP112807,DO51060
SP107060,DO48709
SP124362,DO220872
SP118048,DO49418
SP115114,DO7280
SP107435,DO48917
SP135324,DO52128
SP116274,DO52513
SP99279,DO45277
SP114910,DO51954
SP114906,DO51954
SP114921,DO51955
SP114901,DO51953
SP114926,DO51956
SP114974,DO51964
SP114958,DO51960
SP114935,DO51956
SP114900,DO51953
SP114941,DO51958
SP114937,DO51958
SP114945,DO51958
SP114943,DO51958
SP114949,DO51959
SP114960,DO51960
SP114962,DO51962
SP114996,DO51965
SP114987,DO51965
SP114966,DO51962
SP114903,DO51953
SP114914,DO51954
SP114944,DO51958
SP114930,DO51956
SP114946,DO51959
SP114951,DO51959
SP114953,DO51960
SP114924,DO51955
SP114957,DO51960
SP114986,DO51964
SP114971,DO51964
SP114991,DO51965
SP114992,DO51965
SP114920,DO51954
SP114898,DO51953
SP114932,DO51956
SP114934,DO51956
SP114968,DO51962
SP114982,DO51964
SP114973,DO51964
SP114908,DO51954
SP114904,DO51954
SP114918,DO51954
SP114984,DO51964
SP114994,DO51965
SP114978,DO51964
SP114912,DO51954
SP114917,DO51954
SP114980,DO51964
SP114976,DO51964
SP114916,DO51954
SP79439,DO36135
SP112953,DO51133
SP107063,DO48712
SP110779,DO33488
SP101622,DO46372
SP116659,DO52671
SP78679,DO35558
SP107068,DO48715
SP107360,DO48892
SP135226,DO217867
SP102529,DO46757
SP116668,DO52674
SP111086,DO50328
SP101845,DO46473
SP112911,DO51112
SP107071,DO48716
SP111096,DO50357
SP111021,DO50356
SP117981,DO49442
SP117260,DO218075
SP107805,DO49087
SP125749,DO51535
SP107073,DO48717
SP124394,DO220889
SP112847,DO51080
SP98896,DO45091
SP99003,DO45141
SP98859,DO45055
SP13279,DO6351
SP110789,DO34680
SP13487,DO6558
SP79175,DO35871
SP112859,DO51086
SP116259,DO52511
SP102161,DO46597
SP116630,DO52659
SP112919,DO51116
SP101654,DO46382
SP125762,DO51536
SP107076,DO48719
SP79354,DO36051
SP78819,DO35622
SP78821,DO35624
SP124334,DO220862
SP116290,DO52526
SP117164,DO49422
SP13361,DO6432
SP107552,DO48969
SP111058,DO50411
SP79184,DO35880
SP107078,DO48720
SP124339,DO220863
SP78865,DO35668
SP59412,DO27833
SP13421,DO6492
SP103233,DO46984
SP124454,DO220909
SP70122,DO32984
SP102652,DO46796
SP98865,DO45061
SP116686,DO52682
SP116738,DO52703
SP78673,DO35552
SP13293,DO6364
SP116258,DO52510
SP103507,DO47088
SP116694,DO52685
SP107080,DO48721
SP103100,DO46945
SP116712,DO52691
SP111092,DO50341
SP98898,DO45092
SP102074,DO46566
SP102507,DO46749
SP124380,DO220885
SP117002,DO49430
SP117158,DO51513
SP107084,DO48723
SP125691,DO51491
SP112981,DO51147
SP107088,DO48725
SP78824,DO35627
SP98879,DO45075
SP107550,DO48968
SP78718,DO35573
SP13281,DO6353
SP107091,DO48727
SP125721,DO35376
SP79312,DO36009
SP102620,DO46787
SP135436,DO218547
SP116726,DO52665
SP102485,DO46744
SP71404,DO33344
SP124273,DO220843
SP76955,DO34817
SP107094,DO48728
SP125753,DO35230
SP117043,DO51171
SP135262,DO218442
SP111076,DO50336
SP112987,DO51150
SP116261,DO52511
SP13677,DO6748
SP23463,DO10821
SP112224,DO50820
SP107097,DO48730
SP117972,DO51544
SP109002,DO49532
SP107781,DO49078
SP98871,DO45067
SP124357,DO220870
SP116723,DO52695
SP135431,DO218223
SP103416,DO47056
SP124399,DO220890
SP116268,DO52512
SP112825,DO51069
SP124311,DO220855
SP107101,DO48732
SP112967,DO51140
SP13399,DO6470
SP98900,DO45093
SP70202,DO33008
SP117655,DO218440
SP107104,DO48733
SP135496,DO52164
SP102622,DO46788
SP23471,DO10825
SP112785,DO51049
SP70677,DO33128
SP107358,DO48890
SP111098,DO50445
SP107109,DO48736
SP117124,DO217950
SP117932,DO218697
SP78731,DO35586
SP107455,DO48936
SP70082,DO32972
SP124355,DO220847
SP70288,DO33032
SP99287,DO45281
SP70266,DO33028
SP116732,DO52700
SP107111,DO48737
SP59276,DO27765
SP125726,DO51537
SP115073,DO51967
SP124434,DO220901
SP125800,DO51508
SP107115,DO48738
SP107549,DO48967
SP116703,DO52688
SP98902,DO45094
SP111039,DO50390
SP107956,DO49138
SP59312,DO27783
SP107119,DO48741
SP124428,DO220899
SP117745,DO49457
SP98904,DO45095
SP99293,DO45283
SP117351,DO51492
SP111052,DO50405
SP70956,DO33208
SP124449,DO220907
SP79252,DO35949
SP135425,DO218136
SP101694,DO46402
SP117228,DO51176
SP13307,DO6378
SP99289,DO45281
SP118044,DO51185
SP78814,DO35617
SP13299,DO6370
SP124298,DO220851
SP111166,DO50442
SP98909,DO45096
SP116266,DO52512
SP107121,DO48742
SP116701,DO52687
SP124431,DO220900
SP112793,DO51053
SP111014,DO50350
SP117980,DO49442
SP59296,DO27775
SP117984,DO51172
SP111066,DO50342
SP103005,DO46913
SP107123,DO48743
SP117878,DO35144
SP79294,DO35991
SP13481,DO6552
SP101616,DO46370
SP107357,DO48889
SP59280,DO27767
SP59344,DO27799
SP125805,DO49448
SP101666,DO46388
SP111094,DO50343
SP101558,DO46344
SP116264,DO52512
SP98907,DO45096
SP108017,DO49166
SP107132,DO48747
SP78013,DO35152
SP118083,DO51489
SP79246,DO35943
SP59460,DO27857
SP125772,DO35222
SP112963,DO51138
SP107136,DO48751
SP116780,DO52724
SP107141,DO48753
SP117216,DO35258
SP111015,DO50439
SP124396,DO220874
SP112801,DO51057
SP98913,DO45097
SP59404,DO27829
SP107146,DO48757
SP13289,DO6360
SP116269,DO52512
SP125784,DO221546
SP78919,DO35721
SP112997,DO51155
SP124409,DO220875
SP112973,DO51143
SP107150,DO48759
SP135222,DO218728
SP107453,DO48934
SP135346,DO52134
SP116742,DO52705
SP98915,DO45099
SP107152,DO48760
SP117323,DO35082
SP110853,DO50315
SP102759,DO46838
SP78719,DO35574
SP78662,DO35541
SP107155,DO48761
SP112819,DO51066
SP118046,DO51518
SP71536,DO33392
SP70756,DO33160
SP109001,DO49531
SP111051,DO50402
SP116275,DO52513
SP112125,DO50772
SP135492,DO52162
SP77888,DO35148
SP102741,DO46832
SP23435,DO10807
SP98921,DO45101
SP124341,DO220864
SP135230,DO218088
SP102945,DO46893
SP107457,DO48937
SP112130,DO50774
SP117189,DO218012
SP124353,DO220869
SP112941,DO51127
SP124278,DO220844
SP107404,DO48911
SP112133,DO50776
SP110855,DO50316
SP98925,DO45103
SP111004,DO50331
SP98867,DO45064
SP79458,DO36155
SP79222,DO35919
SP111078,DO50436
SP13433,DO6504
SP125766,DO51549
SP112965,DO51139
SP112138,DO50778
SP110863,DO50437
SP102573,DO46771
SP101682,DO46396
SP78714,DO35569
SP135205,DO222276
SP112141,DO50780
SP111013,DO50349
SP98927,DO45105
SP107454,DO48935
SP125737,DO51541
SP79178,DO35874
SP99297,DO45285
SP115064,DO7024
SP112791,DO51052
SP124376,DO220883
SP125763,DO51527
SP125802,DO51532
SP23447,DO10813
SP111042,DO50395
SP112147,DO50783
SP111040,DO50392
SP102096,DO46576
SP135460,DO52152
SP117667,DO51177
SP103826,DO47234
SP103706,DO47162
SP98861,DO45057
SP78927,DO35729
SP112152,DO50785
SP79474,DO36171
SP76675,DO34736
SP116709,DO52690
SP111031,DO50374
SP102897,DO46877
SP116255,DO52510
SP79387,DO36083
SP106815,DO48581
SP23496,DO10839
SP71480,DO33376
SP102084,DO46568
SP112156,DO50787
SP98933,DO45107
SP70313,DO33042
SP23455,DO10817
SP112160,DO50789
SP111030,DO50372
SP13359,DO6430
SP59448,DO27851
SP107359,DO48891
SP98937,DO45109
SP73319,DO33984
SP112165,DO50791
SP111019,DO50355
SP23475,DO10829
SP116614,DO52652
SP112949,DO51131
SP116734,DO52701
SP59464,DO27859
SP117656,DO51495
SP116770,DO52719
SP78664,DO35543
SP13323,DO6394
SP112168,DO50793
SP98941,DO45111
SP77872,DO35138
SP117309,DO49466
SP117201,DO49424
SP112170,DO50793
SP112857,DO51085
SP116227,DO52504
SP59364,DO27809
SP112174,DO50796
SP101580,DO46354
SP98945,DO45113
SP111026,DO50447
SP110860,DO50320
SP112843,DO51078
SP112178,DO50798
SP125685,DO51472
SP98877,DO45073
SP78931,DO35733
SP112915,DO51114
SP79306,DO36003
SP13367,DO6438
SP112180,DO50799
SP112837,DO51075
SP117463,DO35126
SP106734,DO48545
SP98949,DO45115
SP112182,DO50800
SP116226,DO52503
SP102881,DO46873
SP78815,DO35618
SP98953,DO45117
SP112823,DO51068
SP116663,DO52672
SP117568,DO35236
SP102064,DO46561
SP97775,DO44832
SP117217,DO218034
SP125717,DO51470
SP79270,DO35967
SP112186,DO50802
SP102633,DO46793
SP110851,DO50314
SP98955,DO45119
SP96882,DO6934
SP112188,DO50803
SP111059,DO50412
SP117796,DO51178
SP112899,DO51106
SP107466,DO48946
SP78901,DO35704
SP103715,DO47165
SP112190,DO50804
SP135180,DO222275
SP79210,DO35907
SP102929,DO46889
SP79427,DO36123
SP115134,DO7358
SP107384,DO48906
SP79297,DO35994
SP59444,DO27849
SP125707,DO51521
SP107467,DO48948
SP112192,DO50805
SP125794,DO51534
SP125756,DO51476
SP116690,DO52684
SP23443,DO10811
SP102537,DO46759
SP13283,DO6354
SP112194,DO50806
SP116728,DO52698
SP13478,DO6549
SP117441,DO49478
SP98959,DO45121
SP78680,DO35559
SP125780,DO51543
SP112893,DO51103
SP116260,DO52511
SP112196,DO50807
SP107813,DO49090
SP109006,DO49536
SP112947,DO51130
SP78672,DO35551
